Title,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language,budget_max,Format
Leave No Trace,2018-06-29,109 min,"Adventure, Drama",18 wins & 95 nominations,88.0,7.1,"61,771",tt3892172,6046104.0,English,0.0,others
Uncle Drew,2018-06-29,103 min,"Comedy, Sport",3 wins & 1 nomination,57.0,5.8,"15,023",tt7334528,42469946.0,English,19000000.0,others
Woman Walks Ahead,2018-06-29,101 min,"Biography, Drama, History",6 wins & 1 nomination,51.0,6.6,"7,667",tt5436228,57528.0,"English, Sioux",0.0,others
Overboard,1987-12-16,112 min,"Comedy, Romance",3 nominations,53.0,6.9,"62,998",tt0093693,26713187.0,"English, French, Portuguese",12000000.0,others
Tully,2018-05-04,95 min,"Comedy, Drama, Mystery",3 wins & 28 nominations,75.0,6.9,"60,739",tt5610554,9369755.0,English,0.0,others
Bad Samaritan,2018-05-04,110 min,"Crime, Horror, Thriller",1 nomination,42.0,6.4,"24,594",tt3203528,3435047.0,English,0.0,others
The Cleanse,2018-05-04,81 min,"Comedy, Drama, Fantasy",6 wins & 4 nominations,58.0,5.1,"3,945",tt3734354,,English,0.0,others
The Guardians,2017-02-23,89 min,"Action, Adventure, Comedy",1 nomination,,4.0,"14,023",tt4600952,,Russian,0.0,others
Life of the Party,2018-05-11,105 min,Comedy,3 wins & 4 nominations,46.0,5.6,"37,981",tt5619332,53059911.0,English,30000000.0,others
Breaking In,2018-05-11,88 min,"Action, Thriller",1 win & 1 nomination,42.0,5.5,"16,295",tt7137846,46840590.0,English,6000000.0,others
The Seagull,2018-07-26,98 min,"Comedy, Drama, Romance",1 win & 3 nominations,58.0,5.7,"3,763",tt4682136,1252960.0,English,0.0,others
Terminal,2018-05-11,95 min,"Comedy, Crime, Drama",2 nominations,27.0,5.3,"23,518",tt4463816,,English,2700.0,others
Deadpool 2,2018-05-18,119 min,"Action, Adventure, Comedy",6 wins & 52 nominations,66.0,7.7,"597,624",tt5463162,324591735.0,"English, Cantonese, Spanish, Russian",110000000.0,others
Book Club,2018-05-18,104 min,"Comedy, Drama, Romance",2 wins & 3 nominations,53.0,6.1,"29,050",tt6857166,68566296.0,"English, Hungarian, Spanish, French",10000000.0,others
First Reformed,2018-06-08,113 min,"Drama, Mystery, Thriller",Nominated for 1 Oscar. 60 wins & 109 nominations total,85.0,7.1,"58,770",tt6053438,3448256.0,English,3500000.0,others
Pope Francis: A Man of His Word,2018-06-14,96 min,"Documentary, Biography",1 win & 4 nominations,63.0,6.5,"2,318",tt6915100,2008385.0,"Italian, Spanish, German, English",0.0,others
Show Dogs,2018-05-18,92 min,"Adventure, Comedy, Crime",1 nomination,31.0,3.9,"4,858",tt5691024,17857020.0,English,5500000.0,others
Solo: A Star Wars Story,2018-05-25,135 min,"Action, Adventure, Sci-Fi",Nominated for 1 Oscar. 6 wins & 26 nominations total,62.0,6.9,"356,610",tt3778644,213767512.0,English,250000000.0,others
How to Talk to Girls at Parties,2018-05-25,102 min,"Comedy, Music, Romance",9 nominations,50.0,5.7,"11,711",tt3859310,84809.0,English,,others
In Darkness,2018-05-25,110 min,"Mystery, Thriller",,59.0,5.7,"13,727",tt5164184,,"English, Serbo-Croatian, Russian",0.0,others
The Misandrists,2018-05-25,91 min,"Comedy, Drama",4 nominations,56.0,5.0,503,tt5518756,26123.0,"English, German, Danish",,others
Future World,2018-05-25,88 min,"Action, Adventure, Sci-Fi",,10.0,3.2,"6,520",tt5737536,,English,0.0,others
