Title,Year,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,original_language,release_date,budget,revenue
7 Days in Entebbe,2018,16 Mar 2018,107 min,"Action, Drama, History",,49.0,5.9,"16,325",tt5466186,"$3,326,885",en,2018-03-15,0.0,9196740.0
Furlough,2018,16 Mar 2018,83 min,"Comedy, Drama",,,5.5,"1,988",tt5291792,"$8,472",en,2018-03-16,0.0,0.0
Furlough,2018,16 Mar 2018,83 min,"Comedy, Drama",,,5.5,"1,988",tt5291792,"$8,472",en,2020-10-28,0.0,0.0
Josie,2018,16 Mar 2018,100 min,"Drama, Thriller",2 wins,31.0,5.2,"3,374",tt4682780,,en,2018-03-16,0.0,0.0
Josie,2018,16 Mar 2018,100 min,"Drama, Thriller",2 wins,31.0,5.2,"3,374",tt4682780,,en,2018-03-16,0.0,0.0
Flower,2017,16 Mar 2018,90 min,"Comedy, Drama",1 nomination,45.0,6.0,"9,702",tt2582784,"$328,188",,,,
Pacific Rim: Uprising,2018,23 Mar 2018,111 min,"Action, Adventure, Fantasy",6 nominations,44.0,5.6,"120,385",tt2557478,"$59,874,525",en,2018-03-21,150000000.0,290061297.0
Isle of Dogs,2018,13 Apr 2018,101 min,"Animation, Adventure, Comedy",Nominated for 2 Oscars. 34 wins & 94 nominations total,82.0,7.8,"174,962",tt5104604,"$32,015,231",en,2018-03-23,62770198.0,64337744.0
Sherlock Gnomes,2018,23 Mar 2018,86 min,"Animation, Adventure, Comedy",1 win & 6 nominations,36.0,5.2,"13,063",tt2296777,"$43,242,871",en,2018-03-15,59000000.0,90497778.0
Unsane,2018,23 Mar 2018,98 min,"Drama, Horror, Mystery",1 win & 5 nominations,63.0,6.4,"47,770",tt7153766,"$7,732,899",en,2018-02-21,1500000.0,14293601.0
"Paul, Apostle of Christ",2018,23 Mar 2018,108 min,"Adventure, Biography, Drama",5 wins & 5 nominations,52.0,6.6,"8,950",tt7388562,"$17,560,475",en,2018-03-23,5000000.0,22525668.0
Final Portrait,2017,23 Mar 2018,90 min,"Biography, Comedy, Drama",1 nomination,70.0,6.3,"5,817",tt4494718,"$461,972",,,,
Midnight Sun,2018,23 Mar 2018,91 min,"Drama, Romance",6 nominations,38.0,6.6,"32,850",tt4799066,"$9,561,064",en,2018-03-22,2800000.0,27365467.0
Midnight Sun,2018,23 Mar 2018,91 min,"Drama, Romance",6 nominations,38.0,6.6,"32,850",tt4799066,"$9,561,064",en,2021-05-07,100.0,100.0
Midnight Sun,2018,23 Mar 2018,91 min,"Drama, Romance",6 nominations,38.0,6.6,"32,850",tt4799066,"$9,561,064",fr,2019-09-28,0.0,0.0
Ready Player One,2018,29 Mar 2018,140 min,"Action, Adventure, Sci-Fi",Nominated for 1 Oscar. 11 wins & 56 nominations total,64.0,7.4,"448,973",tt1677720,"$137,715,350",en,2018-03-28,175000000.0,582890172.0
God's Not Dead: A Light in Darkness,2018,30 Mar 2018,105 min,Drama,3 nominations,33.0,4.4,"4,186",tt6652708,"$5,728,940",en,2018-03-30,0.0,5728940.0
Gemini,2017,30 Mar 2018,93 min,"Crime, Drama, Mystery",1 win & 5 nominations,71.0,5.4,"5,314",tt5795086,"$200,340",,,,
The Last Movie Star,2017,30 Mar 2018,94 min,Drama,3 wins & 2 nominations,46.0,7.0,"4,584",tt5836316,"$14,410",en,2018-03-30,0.0,0.0
A Quiet Place,2018,06 Apr 2018,90 min,"Drama, Horror, Sci-Fi",Nominated for 1 Oscar. 35 wins & 126 nominations total,82.0,7.5,"542,991",tt6644200,"$188,024,361",en,2018-04-03,17000000.0,340952971.0
Blockers,2018,06 Apr 2018,102 min,"Comedy, Drama",1 win & 6 nominations,69.0,6.2,"81,525",tt2531344,"$60,311,495",en,2018-03-14,21000000.0,94017294.0
You Were Never Really Here,2017,06 Apr 2018,89 min,"Crime, Drama",Nominated for 1 BAFTA Award23 wins & 77 nominations total,84.0,6.7,"122,036",tt5742374,"$2,528,078",,,,
Chappaquiddick,2017,06 Apr 2018,106 min,"Biography, Drama, History",7 nominations,67.0,6.4,"13,919",tt5270948,"$17,395,520",en,2018-04-06,34000000.0,17904202.0
Pandas,2018,06 Apr 2018,42 min,"Documentary, Short",1 win & 1 nomination,82.0,7.3,706,tt7860270,"$7,574,012",en,2018-04-06,0.0,7635778.0
Lean on Pete,2017,04 May 2018,121 min,"Adventure, Drama, Sport",11 wins & 18 nominations,80.0,7.2,"13,233",tt5340300,"$1,163,056",en,2018-04-06,8000000.0,2455027.0
The Miracle Season,2018,06 Apr 2018,101 min,"Drama, Sport",1 nomination,44.0,6.5,"5,772",tt5427194,"$10,230,620",en,2018-04-13,0.0,10230620.0
Beirut,2018,11 Apr 2018,109 min,"Action, Crime, Drama",1 nomination,69.0,6.5,"23,345",tt4669264,"$5,019,226",en,2018-04-11,0.0,7509436.0
Rampage,2018,13 Apr 2018,107 min,"Action, Adventure, Sci-Fi",7 nominations,45.0,6.1,"173,366",tt2231461,"$101,028,233",en,2018-04-11,120000000.0,428028233.0
Truth or Dare,2018,13 Apr 2018,100 min,"Horror, Thriller",1 win & 2 nominations,35.0,5.2,"58,482",tt6772950,"$41,411,015",en,2018-04-12,3500000.0,95330493.0
Truth or Dare,2018,13 Apr 2018,100 min,"Horror, Thriller",1 win & 2 nominations,35.0,5.2,"58,482",tt6772950,"$41,411,015",ru,2021-08-01,0.0,0.0
Truth or Dare,2018,13 Apr 2018,100 min,"Horror, Thriller",1 win & 2 nominations,35.0,5.2,"58,482",tt6772950,"$41,411,015",en,2019-06-01,0.0,0.0
The Rider,2017,13 Apr 2018,104 min,"Drama, Western",25 wins & 56 nominations,91.0,7.4,"19,687",tt6217608,"$2,419,031",en,2018-03-28,0.0,0.0
Sgt. Stubby: An American Hero,2018,13 Apr 2018,84 min,"Animation, Adventure, Family",23 wins & 7 nominations,58.0,6.9,"2,376",tt5314190,"$4,015,935",en,2018-04-13,25000000.0,0.0
I Feel Pretty,2018,20 Apr 2018,110 min,"Comedy, Romance",1 win & 5 nominations,48.0,5.6,"55,123",tt6791096,"$48,795,601",en,2018-04-19,32000000.0,94539426.0
Super Troopers 2,2018,20 Apr 2018,99 min,"Comedy, Crime, Mystery",2 wins & 2 nominations,41.0,6.0,"27,266",tt0859635,"$30,617,396",en,2018-04-19,13500000.0,18850674.0
Traffik,2018,20 Apr 2018,96 min,"Action, Thriller",3 nominations,37.0,5.9,"20,841",tt5670152,"$9,186,156",en,2018-04-20,4000000.0,5132274.0
The House of Tomorrow,2017,20 Jun 2019,85 min,"Comedy, Drama",1 win & 1 nomination,58.0,6.1,"2,242",tt5910344,"$35,821",,,,
Liz and the Blue Bird,2018,21 Apr 2018,90 min,"Animation, Drama, Fantasy",1 win & 4 nominations,67.0,7.1,"1,876",tt7089878,"$63,204",ja,2018-04-21,0.0,0.0
Avengers: Infinity War,2018,27 Apr 2018,149 min,"Action, Adventure, Sci-Fi",Nominated for 1 Oscar. 46 wins & 79 nominations total,68.0,8.4,"1,107,989",tt4154756,"$678,815,482",en,2018-04-25,300000000.0,2046239637.0
Disobedience,2017,27 Apr 2018,114 min,Drama,4 wins & 27 nominations,74.0,6.6,"32,921",tt6108178,"$3,498,782",en,2018-11-30,6000000.0,0.0
Backstabbing for Beginners,2018,27 Apr 2018,108 min,"Drama, History, Romance",1 nomination,48.0,6.3,"5,514",tt5153288,,en,2018-01-18,0.0,0.0
Action Point,2018,01 Jun 2018,85 min,Comedy,,36.0,5.1,"11,809",tt6495770,"$5,059,608",en,2018-06-01,19000000.0,5059608.0
