Title,Genre,Premiere,Runtime,Language
The Disciple,Drama,30-Apr-21,2 h 8 min,Marathi
Milestone,Drama,07-May-21,1 h 37 min,Hindi
Monster,Drama,07-May-21,1 h 39 min,English
Oxygen,Science fiction thriller,12-May-21,1 h 41 min,French
Ferry,Crime drama,14-May-21,1 h 47 min,Dutch
I Am All Girls,Thriller,14-May-21,1 h 47 min,English
The Woman in the Window,Psychological thriller,14-May-21,1 h 41 min,English
Sardar Ka Grandson,Comedy,18-May-21,2 h 19 min,Hindi
Army of the Dead,Zombie/heist,21-May-21,2 h 28 min,English
Baggio: The Divine Ponytail,Biopic,26-May-21,1 h 32 min,Italian
Ghost Lab,Horror,26-May-21,1 h 57 min,Thai
Blue Miracle,Drama,27-May-21,1 h 36 min,English
Carnaval,Comedy,02-Jun-21,1 h 35 min,Portuguese
Dancing Queens,Drama,03-Jun-21,1 h 51 min,Swedish
Sweet & Sour,Romantic drama,04-Jun-21,1 h 42 min,Korean
Trippin' with the Kandasamys,Comedy,04-Jun-21,1 h 33 min,English
Xtreme,Action,04-Jun-21,1 h 52 min,Spanish
Awake,Science fiction thriller,09-Jun-21,1 h 37 min,English
Tragic Jungle,Drama,09-Jun-21,1 h 36 min,Spanish
Skater Girl,Coming-of-age sports drama,11-Jun-21,1 h 49 min,Hindi
Ali & Ratu Ratu Queens,Comedy drama,17-Jun-21,1 h 40 min,Indonesian
Jagame Thandhiram,Action thriller,18-Jun-21,2 h 38 min,Tamil
Good on Paper,Comedy,23-Jun-21,1 h 34 min,English
America: The Motion Picture,Animation / comedy / historical fiction,30-Jun-21,1 h 38 min,English
Fear Street Part 1: 1994,Teen horror / slasher,02-Jul-21,1 h 47 min,English
The 8th Night,Thriller film,02-Jul-21,1 h 55 min,Korean
Haseen Dillruba,Romantic thriller,02-Jul-21,2 h 15 min,Hindi
Fear Street Part 2: 1978,Teen horror / slasher,09-Jul-21,1 h 50 min,English
Last Summer,Romantic drama,09-Jul-21,1 h 41 min,Turkish
A Classic Horror Story,Horror,14-Jul-21,1 h 35 min,Italian
