Title,Year,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language
The Lodge,2019,16 Jan 2020,108 min,"Drama, Horror, Mystery",2 wins & 11 nominations,64,6.0,"50,388",tt7347846,"$2,138,907",English
Timmy Failure: Mistakes Were Made,2020,07 Feb 2020,99 min,"Adventure, Comedy, Drama",5 nominations,60,6.0,"3,137",tt6820324,N/A,English
Horse Girl,2020,07 Feb 2020,103 min,"Drama, Mystery, Thriller",1 win & 1 nomination,61,6.0,"18,581",tt11388406,N/A,English
To All the Boys: P.S. I Still Love You,2020,12 Feb 2020,101 min,"Comedy, Drama, Romance",3 wins & 4 nominations,54,6.0,"41,344",tt9354842,N/A,English
Sonic the Hedgehog,2020,14 Feb 2020,99 min,"Action, Adventure, Comedy",3 wins & 12 nominations,47,6.5,"144,508",tt3794354,"$148,974,665","English, French, Persian"
Fantasy Island,2020,14 Feb 2020,109 min,"Fantasy, Horror, Mystery",5 nominations,22,4.9,"54,496",tt0983946,"$27,309,289",English
The Photograph,2020,14 Feb 2020,106 min,"Drama, Romance",1 win & 3 nominations,62,6.1,"5,817",tt7798646,"$20,578,185",English
Downhill,2020,14 Feb 2020,86 min,"Comedy, Drama",1 win & 2 nominations,49,4.9,"13,034",tt4558376,"$8,287,061","English, German, Italian, Hindi"
Spy Intervention,2020,14 Feb 2020,93 min,"Action, Adventure, Comedy",N/A,N/A,3.9,"1,950",tt7369550,N/A,English
The Kindness of Strangers,2019,14 Feb 2020,112 min,Drama,4 nominations,32,6.5,"4,534",tt6515910,"$2,705",English
The Call of the Wild,2020,21 Feb 2020,100 min,"Adventure, Drama, Family",1 win & 7 nominations,48,6.7,"51,950",tt7504726,"$62,342,368","English, French"
Emma,1996,30 Aug 1996,120 min,"Comedy, Drama, Romance",Won 1 Oscar. 3 wins & 7 nominations total,66,6.6,"40,088",tt0116191,"$22,231,658",English
The Last Thing He Wanted,2020,21 Feb 2020,115 min,"Crime, Drama, Thriller",1 win & 1 nomination,35,4.3,"15,991",tt7456312,N/A,"English, Spanish, French"
Brahms: The Boy II,2020,21 Feb 2020,86 min,"Drama, Horror, Mystery",2 nominations,29,4.7,"18,744",tt9173418,"$12,611,536",English
The Night Clerk,2020,21 Feb 2020,90 min,"Crime, Drama, Mystery",N/A,44,5.6,"16,841",tt7979142,N/A,English
Impractical Jokers: The Movie,2020,28 Feb 2020,92 min,Comedy,N/A,39,5.8,"6,821",tt9208444,"$10,691,091",English
The Invisible Man,2020,28 Feb 2020,124 min,"Drama, Horror, Mystery",43 wins & 84 nominations,72,7.1,"234,861",tt1051906,"$70,410,000",English
All the Bright Places,2020,28 Feb 2020,107 min,"Drama, Romance",1 win,61,6.6,"34,194",tt3907584,N/A,English
Wendy,2020,17 Apr 2020,111 min,"Drama, Fantasy",6 nominations,55,5.7,"3,564",tt2420124,"$143,518",English
Guns Akimbo,2019,28 Feb 2020,98 min,"Action, Comedy, Crime",N/A,42,6.3,"63,877",tt6902676,N/A,"English, Spanish"
Onward,2020,06 Mar 2020,102 min,"Animation, Adventure, Comedy",Nominated for 1 Oscar. 4 wins & 66 nominations total,61,7.4,"155,178",tt7146812,"$61,555,145",English
The Way Back,2010,21 Jan 2011,133 min,"Adventure, Drama, History",Nominated for 1 Oscar. 4 wins & 5 nominations total,66,7.3,"118,717",tt1023114,"$2,701,859","English, Russian, Polish, Tibetan, Mongolian"
Spenser Confidential,2020,06 Mar 2020,111 min,"Action, Comedy, Crime",2 nominations,49,6.2,"91,807",tt8629748,N/A,"English, Hindi"
The Banker,2020,20 Mar 2020,120 min,"Biography, Drama",3 wins & 7 nominations,59,7.3,"30,671",tt6285944,N/A,English
The Burnt Orange Heresy,2019,06 Mar 2020,99 min,"Drama, Thriller",1 win & 1 nomination,57,6.1,"5,401",tt8342680,"$144,201",English
Swallow,2019,05 Jun 2020,94 min,"Drama, Thriller",16 wins & 22 nominations,65,6.5,"25,238",tt8372298,"$33,419","English, Arabic"
First Cow,2019,10 Jul 2020,122 min,"Drama, Western",28 wins & 161 nominations,89,7.1,"19,775",tt9231040,"$101,068","English, North American Indian, Russian, French, Hawaiian"
Bloodshot,2020,13 Mar 2020,109 min,"Action, Adventure, Sci-Fi",1 win & 7 nominations,44,5.7,"80,280",tt1634106,"$12,561,824","English, Persian"
The Hunt,2012,10 Jan 2013,115 min,Drama,Nominated for 1 Oscar. 38 wins & 73 nominations total,77,8.3,"338,553",tt2106476,"$613,308","Danish, English, Polish"
I Still Believe,2020,13 Mar 2020,116 min,"Biography, Drama, Music",1 win & 2 nominations,41,6.4,"12,568",tt9779516,"$9,868,521",English
Lost Girls,2020,13 Mar 2020,95 min,"Crime, Drama, Mystery",1 win,67,6.1,"22,875",tt3111426,N/A,English
The Roads Not Taken,2020,13 Mar 2020,85 min,Drama,2 nominations,42,5.2,"2,528",tt9411866,"$3,518",English
Never Rarely Sometimes Always,2020,03 Apr 2020,101 min,Drama,31 wins & 120 nominations,92,7.4,"29,578",tt7772582,"$16,565",English
Big Time Adolescence,2019,13 Mar 2020,91 min,"Comedy, Drama",1 nomination,64,6.9,"14,429",tt3824648,N/A,English
Lost Transmissions,2019,13 Mar 2020,105 min,Drama,4 wins & 2 nominations,51,5.1,"1,114",tt6744360,N/A,English
Resistance,2020,27 Mar 2020,120 min,"Biography, Drama, History",2 nominations,53,6.5,"7,904",tt6914122,"$7,464","English, German, Hebrew, Latin, Italian, French"
Uncorked,2020,27 Mar 2020,104 min,Drama,N/A,62,6.4,"6,369",tt9261218,N/A,"English, French"
Vivarium,2019,27 Mar 2020,97 min,"Horror, Mystery, Sci-Fi",3 wins & 10 nominations,64,5.8,"62,908",tt8368406,N/A,English
Coffee,2004,04 Sep 2004,10 min,"Short, Comedy, Romance",N/A,N/A,5.7,97,tt0421122,N/A,English
Trolls World Tour Dance Party Edition,2020,N/A,94 min,Music,N/A,N/A,N/A,N/A,tt13238214,N/A,English
Love Wedding Repeat,2020,10 Apr 2020,100 min,"Comedy, Romance",N/A,41,5.5,"21,160",tt5096470,N/A,English
The Main Event,1979,22 Jun 1979,112 min,"Comedy, Romance, Sport",4 wins & 5 nominations,N/A,5.5,"3,015",tt0079510,"$42,800,000",English
We Summon the Darkness,2019,10 Apr 2020,91 min,"Horror, Music, Thriller",2 wins & 1 nomination,55,5.2,"11,097",tt8058874,"$60,794",English
The Lost Husband,2020,10 Apr 2020,109 min,"Drama, Romance",1 nomination,49,6.1,"5,141",tt4257940,N/A,English
Corona Zombies,2020,10 Apr 2020,61 min,"Comedy, Horror",2 nominations.,N/A,2.5,689,tt12098392,N/A,English
Sergio,2020,17 Apr 2020,118 min,"Biography, Drama, History",1 win & 1 nomination,55,6.2,"10,352",tt8750570,N/A,"English, Portuguese, Spanish, French"
The Willoughbys,2020,22 Apr 2020,90 min,"Animation, Adventure, Comedy",16 nominations,68,6.3,"20,091",tt5206260,N/A,English
Extraction,2020,24 Apr 2020,116 min,"Action, Thriller",4 wins & 15 nominations,56,6.7,"209,700",tt8936646,N/A,"English, Hindi, Bengali"
Braking for Whales,2019,24 Apr 2020,103 min,"Comedy, Drama",N/A,N/A,4.9,484,tt2305326,N/A,English
Bad Education,2004,11 Feb 2005,106 min,"Crime, Drama",Nominated for 1 BAFTA Award16 wins & 42 nominations total,81,7.4,"61,496",tt0275491,"$5,284,284","Spanish, Latin"
Dangerous Lies,2020,30 Apr 2020,96 min,Thriller,2 wins & 1 nomination,51,5.3,"17,773",tt10183816,N/A,English
All Day and a Night,2020,01 May 2020,121 min,Drama,2 nominations,60,6.0,"4,029",tt3993886,N/A,English
The Wretched,2019,01 May 2020,95 min,"Horror, Mystery",4 wins & 5 nominations,61,5.8,"18,091",tt8305806,"$1,814,193",English
The Half of It,2020,01 May 2020,104 min,"Comedy, Drama, Romance",3 wins & 11 nominations,74,6.9,"39,660",tt9683478,N/A,"Spanish, English, Mandarin, French, Hindi"
Arkansas,2020,05 May 2020,117 min,"Crime, Thriller",N/A,55,6.0,"13,192",tt9139586,N/A,English
Valley Girl,1983,29 Apr 1983,99 min,"Comedy, Romance",N/A,66,6.4,"16,555",tt0086525,"$17,343,596",English
Capone,2020,12 May 2020,103 min,"Biography, Crime, Drama",1 nomination,46,4.7,"21,661",tt6199572,N/A,"English, Italian, Spanish"
The Wrong Missy,2020,13 May 2020,90 min,"Comedy, Romance",5 nominations,33,5.7,"41,569",tt9619798,N/A,English
Scoob!,2020,15 May 2020,93 min,"Animation, Adventure, Comedy",3 nominations,43,5.6,"28,033",tt3152592,"$2,188,425",English
Blood and Money,2020,15 May 2020,89 min,"Drama, Thriller",N/A,40,5.2,"2,409",tt9248110,N/A,English
Body Cam,2020,18 May 2020,96 min,"Action, Adventure, Crime",N/A,37,5.3,"7,070",tt8179024,N/A,English
The Lovebirds,2020,22 May 2020,86 min,"Action, Comedy, Crime",2 wins & 3 nominations,59,6.1,"26,708",tt8851668,N/A,English
Inheritance,2020,22 May 2020,111 min,"Drama, Mystery, Thriller",N/A,31,5.5,"17,079",tt7923220,N/A,English
Survive the Night,2020,22 May 2020,90 min,"Action, Drama, Thriller",1 nomination,26,4.0,"11,567",tt10303324,N/A,English
The Wanting Mare,2020,05 Feb 2021,89 min,"Drama, Fantasy, Mystery",2 wins,67,5.3,546,tt2267554,N/A,English
The High Note,2020,29 May 2020,113 min,"Drama, Music, Romance",1 win & 8 nominations,58,6.4,"12,442",tt9308382,N/A,English
Shirley,2020,05 Jun 2020,107 min,"Biography, Drama, Horror",4 wins & 25 nominations,76,6.1,"12,144",tt8430598,N/A,English
The Last Days of American Crime,2020,05 Jun 2020,148 min,"Action, Crime, Drama",N/A,15,3.8,"11,891",tt1552211,N/A,English
Becky,2020,05 Jun 2020,93 min,"Action, Crime, Drama",1 win & 1 nomination,54,5.9,"18,046",tt10314450,"$1,003,700",English
Think Like a Dog,2020,06 Jul 2020,91 min,"Comedy, Drama, Family",1 win,N/A,5.2,"1,940",tt5929654,N/A,English
Da 5 Bloods,2020,12 Jun 2020,154 min,"Adventure, Drama, War",Nominated for 1 Oscar. 41 wins & 198 nominations total,82,6.5,"52,777",tt9777644,N/A,"English, Finnish, French, Vietnamese"
Artemis Fowl,2020,12 Jun 2020,95 min,"Adventure, Family, Fantasy",2 nominations,31,4.2,"29,278",tt3089630,N/A,"English, Italian"
The King of Staten Island,2020,12 Jun 2020,136 min,"Comedy, Drama",3 wins & 24 nominations,67,7.1,"71,383",tt9686708,N/A,English
Sniper: Assassin's End,2020,16 Jun 2020,95 min,"Action, Thriller",3 nominations.,N/A,5.4,"1,536",tt12305696,N/A,"English, Japanese"
You Should Have Left,2020,18 Jun 2020,93 min,"Horror, Thriller",N/A,46,5.4,"22,965",tt8201852,N/A,English
Wasp Network,2019,19 Jun 2020,127 min,"Crime, Drama, Thriller",1 win & 3 nominations,54,5.9,"11,177",tt6760876,N/A,"Spanish, English, Russian, Italian"
Feel the Beat,2020,19 Jun 2020,109 min,"Comedy, Drama, Family",1 win & 3 nominations,N/A,6.3,"12,045",tt10714856,N/A,English
7500,2019,18 Jun 2020,93 min,"Action, Drama, Thriller",2 wins & 8 nominations,58,6.3,"30,260",tt6436726,N/A,"English, German, Turkish, Arabic"
Athlete A,2020,24 Jun 2020,103 min,"Documentary, Crime, Sport",4 wins & 9 nominations,85,7.6,"11,629",tt11905462,N/A,English
Eurovision Song Contest: The Story of Fire Saga,2020,26 Jun 2020,123 min,"Comedy, Musical",Nominated for 1 Oscar. 6 wins & 28 nominations total,50,6.5,"96,934",tt8580274,N/A,"English, Icelandic, Portuguese"
Irresistible,2020,26 Jun 2020,101 min,"Comedy, Drama",1 nomination,47,6.3,"21,822",tt9076562,N/A,English
My Spy,2020,26 Jun 2020,99 min,"Action, Comedy",N/A,46,6.3,"32,042",tt8242084,N/A,"English, French, Russian"
We Bare Bears: The Movie,2020,30 Jun 2020,69 min,"Animation, Adventure, Comedy",N/A,N/A,6.7,"2,194",tt10474606,N/A,English
Hamilton,2020,03 Jul 2020,160 min,"Biography, Drama, History",Won 2 Primetime Emmys. 19 wins & 46 nominations total,89,8.4,"99,468",tt8503618,N/A,English
Relic,2020,10 Jul 2020,89 min,"Drama, Horror, Mystery",5 wins & 27 nominations,77,6.0,"27,923",tt9072352,"$1,047,083",English
Desperados,2020,03 Jul 2020,105 min,"Comedy, Romance",1 win,41,5.2,"10,716",tt1545304,N/A,English
The Old Guard,2020,10 Jul 2020,125 min,"Action, Thriller",5 wins & 24 nominations,70,6.6,"170,607",tt7556122,N/A,"English, Arabic, French, Italian"
Money Plane,2020,10 Jul 2020,82 min,"Comedy, Crime, Thriller",N/A,N/A,3.2,"5,265",tt7286966,N/A,English
Greyhound,2020,10 Jul 2020,91 min,"Action, Drama, History",Nominated for 1 Oscar. 1 win & 23 nominations total,64,7.0,"101,679",tt6048922,N/A,English
Palm Springs,2020,10 Jul 2020,90 min,"Comedy, Fantasy, Mystery",15 wins & 45 nominations,83,7.4,"166,180",tt9484998,"$164,000",English
Fatal Affair,2020,16 Jul 2020,89 min,Thriller,1 win,34,4.6,"6,343",tt11057594,N/A,English
The Silencing,2020,18 Jul 2020,93 min,"Action, Crime, Mystery",1 nomination,N/A,6.2,"27,633",tt7149730,"$100,746",English
A Nice Girl Like You,2020,17 Jul 2020,94 min,"Comedy, Romance",N/A,41,5.1,"5,941",tt3278540,N/A,"English, French"
Ghosts of War,2020,17 Jul 2020,94 min,"Fantasy, Horror, Thriller",N/A,38,5.6,"10,956",tt6508228,N/A,English
Animal Crackers,1930,06 Sep 1930,97 min,"Comedy, Family, Musical",2 nominations,77,7.4,"14,800",tt0020640,"$910,015",English
The Kissing Booth 2,2020,24 Jul 2020,134 min,"Comedy, Romance",2 wins,39,5.7,"33,630",tt9784456,N/A,English
The Rental,2020,24 Jul 2020,88 min,"Drama, Horror, Mystery",5 nominations,62,5.7,"34,377",tt10003008,"$1,637,548",English
Deep Blue Sea 3,2020,29 Jul 2020,100 min,"Action, Horror, Sci-Fi",N/A,N/A,4.7,"6,360",tt11946300,N/A,English
Black Is King,2020,31 Jul 2020,85 min,"Adventure, Drama, Fantasy",Won 1 Primetime Emmy. 2 wins & 9 nominations total,84,5.8,"9,072",tt12607910,N/A,English
The Secret: Dare to Dream,2020,31 Jul 2020,107 min,"Drama, Romance",2 nominations,32,6.5,"15,138",tt4411584,N/A,English
Summerland,2020,31 Jul 2020,99 min,"Drama, Romance, War",1 win,56,7.0,"7,884",tt6841122,"$58,498",English
She Dies Tomorrow,2020,07 Aug 2020,86 min,"Drama, Fantasy, Horror",8 nominations,80,5.1,"6,640",tt11614912,"$398,663",English
An American Pickle,2020,06 Aug 2020,88 min,"Comedy, Fantasy",1 win & 1 nomination,58,5.7,"24,780",tt9059704,N/A,"English, Hebrew"
The Tax Collector,2020,07 Aug 2020,95 min,"Action, Crime, Drama",1 nomination,22,4.8,"14,400",tt8461224,"$1,044,212","English, Spanish"
Waiting for the Barbarians,2019,07 Aug 2020,112 min,Drama,1 win & 3 nominations,52,5.9,"13,074",tt6149154,N/A,English
Project Power,2020,14 Aug 2020,113 min,"Action, Crime, Sci-Fi",2 wins & 7 nominations,51,6.0,"91,867",tt7550000,N/A,"English, Spanish"
Magic Camp,2020,14 Aug 2020,100 min,"Comedy, Family, Fantasy",N/A,N/A,6.3,"4,596",tt3979300,N/A,English
Spree,2020,14 Aug 2020,93 min,"Comedy, Crime, Horror",5 nominations,42,5.9,"14,604",tt11394332,"$28,771",English
Boys State,2020,14 Aug 2020,109 min,Documentary,Won 1 Primetime Emmy. 17 wins & 26 nominations total,84,7.6,"5,321",tt11095742,N/A,English
The One and Only Ivan,2020,21 Aug 2020,95 min,"Adventure, Comedy, Drama",Nominated for 1 Oscar. 2 wins & 5 nominations total,58,6.5,"12,751",tt3661394,N/A,English
Unhinged,2020,21 Aug 2020,90 min,"Action, Thriller",1 nomination,40,6.0,"71,126",tt10059518,"$20,831,465",English
Tesla,2020,21 Aug 2020,102 min,"Biography, Drama",1 win,67,5.1,"9,563",tt5259822,"$93,147","English, French"
Cut Throat City,2020,21 Aug 2020,123 min,"Action, Crime, Drama",N/A,67,4.9,"2,962",tt3547306,"$855,894",English
Words on Bathroom Walls,2020,21 Aug 2020,110 min,"Drama, Romance",2 nominations,61,7.1,"11,441",tt8045906,"$2,542,518",English
Hard Kill,2020,21 Aug 2020,98 min,"Action, Thriller",1 nomination,N/A,3.0,"19,081",tt11656172,N/A,English
Chemical Hearts,2020,21 Aug 2020,93 min,"Drama, Romance",N/A,57,6.3,"13,774",tt5843876,N/A,English
Tenet,2020,03 Sep 2020,150 min,"Action, Sci-Fi, Thriller",Won 1 Oscar. 50 wins & 137 nominations total,69,7.3,"523,027",tt6723592,"$58,504,105","English, Russian, Ukrainian, Estonian, Norwegian, Hindi"
Bill,2015,18 Sep 2015,94 min,"Comedy, Family, History",N/A,60,6.5,"2,882",tt2978576,N/A,English
The New Mutants,2020,28 Aug 2020,94 min,"Action, Horror, Mystery",4 nominations,43,5.3,"83,011",tt4682266,"$23,852,659","English, Portuguese, Latin"
The Personal History of David Copperfield,2019,28 Aug 2020,119 min,"Comedy, Drama",Nominated for 1 BAFTA Award17 wins & 32 nominations total,77,6.4,"20,965",tt6439020,"$1,876,298","English, French"
I'm Thinking of Ending Things,2020,04 Sep 2020,134 min,"Drama, Thriller",15 wins & 110 nominations,78,6.6,"90,698",tt7939766,N/A,"English, Spanish"
Phineas and Ferb the Movie: Candace Against the Universe,2020,28 Aug 2020,86 min,"Animation, Adventure, Comedy",1 win & 4 nominations,77,7.1,"4,845",tt1817232,N/A,English
All Together Now,2020,28 Aug 2020,92 min,Drama,N/A,64,6.5,"4,719",tt3155342,N/A,English
Rogue,2007,08 Nov 2007,99 min,"Action, Drama, Horror",1 win & 4 nominations,N/A,6.2,"31,725",tt0479528,"$10,452",English
Centigrade,2020,28 Aug 2020,89 min,"Drama, Thriller",N/A,46,4.4,"3,156",tt8945942,"$16,263",English
Fatima,2020,28 Aug 2020,113 min,"Drama, War",N/A,50,6.6,"3,602",tt2197936,N/A,English
All Together Now,2020,28 Aug 2020,92 min,Drama,N/A,64,6.5,"4,719",tt3155342,N/A,English
"Love, Guaranteed",2020,03 Sep 2020,90 min,"Comedy, Romance",1 win & 3 nominations,39,5.6,"18,099",tt11100856,N/A,English
Mulan,1998,19 Jun 1998,87 min,"Animation, Adventure, Comedy",Nominated for 1 Oscar. 17 wins & 21 nominations total,71,7.6,"296,144",tt0120762,"$120,620,254","English, Mandarin"
Critical Thinking,2020,04 Sep 2020,117 min,Drama,N/A,65,6.4,"2,272",tt7870102,N/A,"English, Spanish"
The Owners,2020,22 Feb 2021,92 min,"Comedy, Crime, Horror",1 win & 2 nominations,54,4.9,"8,362",tt9806370,N/A,English
Guest House,2020,04 Sep 2020,84 min,Comedy,N/A,N/A,4.4,"2,344",tt10054316,N/A,N/A
The Babysitter: Killer Queen,2020,10 Sep 2020,101 min,"Comedy, Horror",2 nominations.,22,5.8,"44,804",tt11024272,N/A,English
Unpregnant,2020,10 Sep 2020,103 min,"Comedy, Drama",2 wins & 4 nominations,61,6.5,"8,774",tt10556022,N/A,English
The Devil All the Time,2020,10 Sep 2020,138 min,"Crime, Drama, Thriller",3 nominations,55,7.1,"140,688",tt7395114,N/A,English
The Broken Hearts Gallery,2020,11 Sep 2020,109 min,"Comedy, Romance",1 win & 2 nominations,57,6.3,"9,432",tt2140571,"$4,067,442",English
I Met a Girl,2020,11 Sep 2020,108 min,"Drama, Romance",1 nomination,N/A,6.1,"1,381",tt9731360,N/A,English
Rent-A-Pal,2020,11 Sep 2020,108 min,"Horror, Thriller",2 wins & 4 nominations,61,6.3,"5,078",tt12274228,"$30,901",English
Cats,2019,20 Dec 2019,110 min,"Comedy, Drama, Family",11 wins & 8 nominations,32,2.8,"52,975",tt5697572,"$27,166,770",English
The Secrets We Keep,2020,16 Sep 2020,97 min,"Drama, Thriller",N/A,48,5.8,"6,451",tt9252488,"$207,928",English
Antebellum,2020,18 Sep 2020,105 min,"Drama, Horror, Mystery",3 wins & 11 nominations,43,5.8,"28,233",tt10065694,N/A,English
The Nest,2020,18 Sep 2020,107 min,"Drama, Romance",5 wins & 28 nominations,80,6.3,"15,327",tt8338762,"$137,886",English
Blackbird,2019,18 Sep 2020,97 min,Drama,1 win & 1 nomination,53,6.6,"5,166",tt8717446,N/A,English
Lost Girls,2020,13 Mar 2020,95 min,"Crime, Drama, Mystery",1 win,67,6.1,"22,875",tt3111426,N/A,English
Killian,2018,01 Jan 2018,N/A,"Short, Sci-Fi",N/A,N/A,N/A,N/A,tt7509158,N/A,English
Enola Holmes,2020,23 Sep 2020,123 min,"Action, Adventure, Crime",4 wins & 11 nominations,68,6.6,"200,857",tt7846844,N/A,English
The Trial of the Chicago 7,2020,16 Oct 2020,129 min,"Drama, History, Thriller",Nominated for 6 Oscars. 58 wins & 191 nominations total,76,7.7,"182,304",tt1070874,N/A,"English, Latin, French"
Ava,2020,25 Sep 2020,96 min,"Action, Drama, Thriller",N/A,39,5.4,"58,304",tt8784956,"$497,747","English, German, French, Chinese"
Kajillionaire,2020,25 Sep 2020,104 min,"Comedy, Crime, Drama",5 wins & 12 nominations,78,6.4,"20,268",tt8143990,"$531,430",English
The Last Shift,2020,25 Sep 2020,90 min,"Comedy, Drama",1 win & 1 nomination,58,5.7,"3,780",tt10661180,"$1,034,467",English
Secret Society of Second Born Royals,2020,25 Sep 2020,99 min,"Action, Adventure, Comedy",4 nominations,34,4.9,"5,661",tt10324122,N/A,English
She's in Portland,2020,N/A,101 min,"Comedy, Drama",N/A,N/A,5.7,606,tt7174660,N/A,English
Sightless,2020,28 Sep 2020,89 min,"Drama, Thriller",N/A,N/A,5.5,"9,266",tt10303430,N/A,"English, Spanish, French"
The Boys in the Band,2020,30 Sep 2020,121 min,Drama,1 win & 5 nominations,70,6.8,"16,517",tt10199914,N/A,English
The Glorias,2020,30 Sep 2020,147 min,"Biography, Drama, History",5 nominations,58,5.9,"3,422",tt7435316,N/A,English
On the Rocks,2020,23 Oct 2020,96 min,"Comedy, Drama, Romance",2 wins & 40 nominations,73,6.4,"33,591",tt9606374,N/A,English
Spontaneous,2020,02 Oct 2020,101 min,"Comedy, Drama, Horror",1 win & 2 nominations,78,6.5,"16,001",tt5774062,N/A,English
Vampires vs. the Bronx,2020,02 Oct 2020,85 min,"Comedy, Horror",N/A,76,5.7,"10,479",tt8976576,N/A,"English, Spanish"
Possessor,2020,02 Oct 2020,103 min,"Horror, Mystery, Sci-Fi",15 wins & 39 nominations,72,6.5,"39,873",tt5918982,"$752,885",English
Death of Me,2020,02 Oct 2020,94 min,"Horror, Mystery, Thriller",N/A,31,4.4,"6,761",tt1830643,N/A,"English, Thai"
The Call,2013,15 Mar 2013,94 min,"Drama, Thriller",1 win & 11 nominations,51,6.7,"125,259",tt1911644,"$51,872,378",English
American Pie Presents: Girls' Rules,2020,06 Oct 2020,95 min,Comedy,N/A,N/A,3.8,"6,121",tt11771594,N/A,English
The Lie,2018,06 Oct 2020,97 min,"Drama, Thriller",1 win,45,5.8,"18,127",tt7945440,N/A,English
Black Box,2020,06 Oct 2020,100 min,"Horror, Mystery, Sci-Fi",2 nominations,62,6.2,"15,650",tt12298506,N/A,English
Hubie Halloween,2020,07 Oct 2020,103 min,"Comedy, Mystery",6 nominations,53,5.2,"53,192",tt10682266,N/A,English
Books of Blood,2020,07 Oct 2020,107 min,"Drama, Horror, Mystery",N/A,42,5.6,"8,358",tt11242218,N/A,English
Charm City Kings,2020,08 Oct 2020,125 min,Drama,1 win & 3 nominations,62,6.6,"2,693",tt9048840,N/A,English
The War with Grandpa,2020,09 Oct 2020,94 min,"Comedy, Drama, Family",1 win,34,5.6,"22,282",tt4532038,"$21,277,892",English
A Rainy Day in New York,2019,10 Nov 2020,92 min,"Comedy, Romance",3 wins,38,6.5,"46,426",tt7139936,N/A,English
Yellow Rose,2019,09 Oct 2020,94 min,"Drama, Music",14 wins & 2 nominations,70,6.5,"1,227",tt6862538,"$367,849",English
Nocturne,2020,13 Oct 2020,90 min,"Drama, Horror, Music",1 nomination,58,5.7,"9,994",tt11044858,N/A,English
Evil Eye,2020,13 Oct 2020,90 min,"Horror, Mystery, Thriller",1 win & 1 nomination,54,4.8,"3,919",tt12882620,N/A,"English, Hindi"
A Babysitter's Guide to Monster Hunting,2020,15 Oct 2020,98 min,"Comedy, Family, Fantasy",2 wins & 2 nominations,31,5.4,"4,478",tt4844150,N/A,English
Love and Monsters,2020,16 Oct 2020,109 min,"Action, Adventure, Comedy",Nominated for 1 Oscar. 1 win & 4 nominations total,63,6.9,"132,892",tt2222042,"$1,070,714",English
Honest Thief,2020,16 Oct 2020,99 min,"Action, Thriller",1 nomination,46,6.0,"52,990",tt1838556,"$14,163,574","English, Spanish, German"
Clouds,2020,16 Oct 2020,121 min,"Biography, Drama, Music",2 wins & 2 nominations,55,7.5,"10,841",tt6473066,N/A,English
The Devil Has a Name,2019,16 Oct 2020,97 min,"Drama, Thriller",N/A,50,5.5,"1,264",tt7894510,N/A,English
The Kid Detective,2020,16 Oct 2020,100 min,"Comedy, Drama, Mystery",5 nominations,74,7.0,"20,155",tt8980602,"$364,138",English
Alone,2020,18 Sep 2020,98 min,"Drama, Horror, Mystery",4 wins & 2 nominations,70,6.2,"22,556",tt7711170,"$537,589",English
2 Hearts,2020,16 Oct 2020,101 min,"Drama, Romance",N/A,29,6.3,"6,575",tt5616176,"$1,349,286",English
The Opening Act,2020,16 Oct 2020,90 min,Comedy,N/A,N/A,6.0,"1,109",tt8633748,N/A,English
Tremors: Shrieker Island,2020,20 Oct 2020,103 min,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",N/A,N/A,5.5,"3,197",tt8322060,N/A,English
The Witches,1990,24 Aug 1990,91 min,"Adventure, Comedy, Family",Nominated for 1 BAFTA Award3 wins & 8 nominations total,78,6.8,"51,952",tt0100944,"$10,360,553",English
Over the Moon,2020,23 Oct 2020,95 min,"Animation, Adventure, Comedy",Nominated for 1 Oscar. 3 wins & 61 nominations total,60,6.3,"23,483",tt7488208,N/A,"English, Chinese, Hindi"
Borat Subsequent Moviefilm,2020,23 Oct 2020,95 min,Comedy,Nominated for 2 Oscars. 38 wins & 64 nominations total,68,6.6,"144,633",tt13143964,N/A,"English, Bulgarian, Hebrew, Romanian, Croatian"
After We Collided,2020,23 Oct 2020,105 min,"Drama, Romance",1 win,14,5.0,"33,837",tt10362466,"$2,386,483","English, Chinese"
The Empty Man,2020,23 Oct 2020,137 min,"Drama, Horror, Mystery",1 nomination,N/A,6.2,"32,400",tt5867314,"$2,992,948",English
Synchronic,2019,23 Oct 2020,102 min,"Drama, Horror, Mystery",6 nominations,64,6.2,"33,844",tt9016974,"$636,673","English, Spanish"
Bad Hair,2020,23 Oct 2020,102 min,"Comedy, Horror, Music",1 win & 3 nominations,61,5.6,"3,936",tt4798836,N/A,N/A
Friendsgiving,2020,23 Oct 2020,95 min,"Comedy, Drama",1 nomination,N/A,4.4,"3,381",tt8431078,N/A,English
The Craft: Legacy,2020,28 Oct 2020,97 min,"Drama, Fantasy, Horror",1 win & 1 nomination,54,4.5,"14,661",tt4685762,N/A,English
Holidate,2020,28 Oct 2020,104 min,"Comedy, Romance",1 win,44,6.1,"71,163",tt9866072,N/A,"English, Mandarin"
Come Play,2020,30 Oct 2020,96 min,"Drama, Horror, Mystery",1 nomination,58,5.7,"15,765",tt8004664,"$10,475,990",English
His House,2020,30 Oct 2020,93 min,"Drama, Horror, Thriller",Won 1 BAFTA Award8 wins & 37 nominations total,72,6.5,"43,955",tt8508734,N/A,"English, Dinka"
