Title,Year,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language
The Rider,2017,13 Apr 2018,104 min,"Drama, Western",25 wins & 56 nominations,91,7.4,"19,687",tt6217608,"$2,419,031","English, Sioux, Spanish"
Sgt. Stubby: An American Hero,2018,13 Apr 2018,84 min,"Animation, Adventure, Family",23 wins & 7 nominations,58,6.9,"2,376",tt5314190,"$4,015,935","English, French, German"
I Feel Pretty,2018,20 Apr 2018,110 min,"Comedy, Romance",1 win & 5 nominations,48,5.6,"55,123",tt6791096,"$48,795,601",English
Super Troopers 2,2018,20 Apr 2018,99 min,"Comedy, Crime, Mystery",2 wins & 2 nominations,41,6.0,"27,266",tt0859635,"$30,617,396",English
Traffik,2018,20 Apr 2018,96 min,"Action, Thriller",3 nominations,37,5.9,"20,841",tt5670152,"$9,186,156",English
The House of Tomorrow,2017,20 Jun 2019,85 min,"Comedy, Drama",1 win & 1 nomination,58,6.1,"2,242",tt5910344,"$35,821",English
Liz and the Blue Bird,2018,21 Apr 2018,90 min,"Animation, Drama, Fantasy",1 win & 4 nominations,67,7.1,"1,876",tt7089878,"$63,204","Japanese, English"
Avengers: Infinity War,2018,27 Apr 2018,149 min,"Action, Adventure, Sci-Fi",Nominated for 1 Oscar. 46 wins & 79 nominations total,68,8.4,"1,107,989",tt4154756,"$678,815,482",English
Disobedience,2017,27 Apr 2018,114 min,Drama,4 wins & 27 nominations,74,6.6,"32,921",tt6108178,"$3,498,782","English, Hebrew"
Backstabbing for Beginners,2018,27 Apr 2018,108 min,"Drama, History, Romance",1 nomination,48,6.3,"5,514",tt5153288,N/A,"English, Persian, French"
Action Point,2018,01 Jun 2018,85 min,Comedy,N/A,36,5.1,"11,809",tt6495770,"$5,059,608",English
Adrift,2018,01 Jun 2018,96 min,"Action, Adventure, Biography",5 nominations,56,6.6,"58,470",tt6306064,"$31,445,012","English, French"
Upgrade,2018,01 Jun 2018,100 min,"Action, Sci-Fi, Thriller",3 wins & 26 nominations,67,7.5,"191,226",tt6499752,"$11,977,130","English, Dutch"
American Animals,2018,14 Aug 2018,116 min,"Biography, Crime, Drama",10 wins & 22 nominations,68,7.0,"46,630",tt6212478,"$2,856,954","English, Dutch"
Social Animals,2018,01 Jun 2018,90 min,Comedy,N/A,37,5.3,"1,902",tt5639898,"$5,007",English
Ocean's 8: Reimagining the Met Gala,2018,11 Sep 2018,13 min,"Documentary, Short",N/A,N/A,7.1,21,tt9108974,N/A,English
Won't You Be My Neighbor?,2018,29 Jun 2018,95 min,"Documentary, Biography",54 wins & 34 nominations,85,8.3,"26,192",tt7681902,"$22,835,787","English, Hebrew"
Hereditary,2018,08 Jun 2018,127 min,"Drama, Horror, Mystery",48 wins & 112 nominations,87,7.3,"334,055",tt7784604,"$44,069,456","English, Spanish"
Hotel Artemis,2018,08 Jun 2018,94 min,"Action, Crime, Drama",1 win & 1 nomination,58,6.1,"55,254",tt5834262,"$6,708,147","English, French"
SuperFly,2018,13 Jun 2018,116 min,"Action, Crime, Thriller",N/A,52,5.2,"7,309",tt7690670,"$20,545,116","English, Spanish, Cantonese"
Incredibles 2,2018,15 Jun 2018,118 min,"Animation, Action, Adventure",Nominated for 1 Oscar. 12 wins & 81 nominations total,80,7.6,"305,694",tt3606756,"$608,581,744",English
Tag,2018,15 Jun 2018,100 min,"Action, Comedy",3 nominations,56,6.5,"137,681",tt2854926,"$54,730,625","English, Spanish"
On Chesil Beach,2017,18 May 2018,110 min,"Drama, Music, Romance",N/A,62,6.3,"11,720",tt1667321,"$745,971",English
Gotti,2018,14 Jun 2018,112 min,"Biography, Crime, Drama",7 nominations,24,4.7,"16,021",tt1801552,"$4,343,227",English
Jurassic World: Fallen Kingdom,2018,22 Jun 2018,128 min,"Action, Adventure, Sci-Fi",4 wins & 26 nominations,51,6.1,"324,475",tt4881806,"$417,719,760","English, Russian"
Boundaries,2018,13 Sep 2018,104 min,"Comedy, Drama",5 nominations,50,5.5,"2,470",tt5686062,"$703,438",English
Damsel,2018,22 Jun 2018,113 min,"Comedy, Drama, Western",3 nominations,63,5.6,"5,550",tt5881528,"$305,136",English
The Domestics,2018,29 Jun 2018,95 min,"Action, Horror, Sci-Fi",N/A,N/A,5.7,"10,216",tt5591666,N/A,English
Sicario: Day of the Soldado,2018,29 Jun 2018,122 min,"Action, Crime, Drama",1 win & 7 nominations,61,7.0,"154,216",tt5052474,"$50,072,235","English, Spanish, American Sign , Arabic, Somali, Spanish Sign "
Leave No Trace,2018,29 Jun 2018,109 min,"Adventure, Drama",18 wins & 95 nominations,88,7.1,"61,771",tt3892172,"$6,046,104",English
Uncle Drew,2018,29 Jun 2018,103 min,"Comedy, Sport",3 wins & 1 nomination,57,5.8,"15,023",tt7334528,"$42,469,946",English
Woman Walks Ahead,2017,29 Jun 2018,101 min,"Biography, Drama, History",6 wins & 1 nomination,51,6.6,"7,667",tt5436228,"$57,528","English, Sioux"
Overboard,1987,16 Dec 1987,112 min,"Comedy, Romance",3 nominations,53,6.9,"62,998",tt0093693,"$26,713,187","English, French, Portuguese"
Tully,2018,04 May 2018,95 min,"Comedy, Drama, Mystery",3 wins & 28 nominations,75,6.9,"60,739",tt5610554,"$9,369,755",English
Bad Samaritan,2018,04 May 2018,110 min,"Crime, Horror, Thriller",1 nomination,42,6.4,"24,594",tt3203528,"$3,435,047",English
The Cleanse,2016,04 May 2018,81 min,"Comedy, Drama, Fantasy",6 wins & 4 nominations,58,5.1,"3,945",tt3734354,N/A,English
The Guardians,2017,23 Feb 2017,89 min,"Action, Adventure, Comedy",1 nomination,N/A,4.0,"14,023",tt4600952,N/A,Russian
Life of the Party,2018,11 May 2018,105 min,Comedy,3 wins & 4 nominations,46,5.6,"37,981",tt5619332,"$53,059,911",English
Breaking In,2018,11 May 2018,88 min,"Action, Thriller",1 win & 1 nomination,42,5.5,"16,295",tt7137846,"$46,840,590",English
The Seagull,2018,26 Jul 2018,98 min,"Comedy, Drama, Romance",1 win & 3 nominations,58,5.7,"3,763",tt4682136,"$1,252,960",English
